u,v,key,osmid,highway,name,oneway,reversed,length,lanes,bridge,maxspeed,tunnel,service,access,width,geometry
5683835442,1497969866,0,838425492,tertiary,Phố Phương Mai,False,False,19.01765482862809,,,,,,,,"LINESTRING (105.8368689 21.0036289, 105.8370455 21.0036744)"
5683835442,8277275721,0,838425492,tertiary,Phố Phương Mai,False,True,40.97884444123623,,,,,,,,"LINESTRING (105.8368689 21.0036289, 105.8364895 21.0035271)"
5683835443,10130399532,0,596730427,service,,False,False,15.472681044307766,,,,,,,,"LINESTRING (105.8368186 21.0038118, 105.8368564 21.0036772)"
5683888504,10130376697,0,596739916,service,,False,True,5.970751000594769,,,,,parking_aisle,,,"LINESTRING (105.835493 21.0053131, 105.8355485 21.0053272)"
5683888504,6684744670,0,838425493,tertiary,Phố Lương Định Của,False,False,3.6914492307187343,,,,,,,,"LINESTRING (105.835493 21.0053131, 105.8354821 21.0053447)"
5683888504,1905157850,0,838425493,tertiary,Phố Lương Định Của,False,True,10.426912689517488,,,,,,,,"LINESTRING (105.835493 21.0053131, 105.8355193 21.0052226)"
5683888507,12185673529,0,179995750,service,Ngõ 1 Tôn Thất Tùng,False,True,49.72098609097801,,,,,alley,,,"LINESTRING (105.8320036 21.0052167, 105.8315344 21.0053066)"
5683888507,10130376632,0,596739917,service,,False,True,63.57648756760271,,,,,,,,"LINESTRING (105.8320036 21.0052167, 105.8321743 21.0057658)"
5683888507,1904395865,0,1330515508,service,Ngõ 1 Tôn Thất Tùng,False,False,35.32632457056135,,,,,alley,,,"LINESTRING (105.8320036 21.0052167, 105.8323166 21.005092)"
5684247714,8018034356,0,1335894078,residential,Đường Giải Phóng,False,False,6.1520254555227005,2,,,,,,,"LINESTRING (105.8410141 21.005828, 105.8410033 21.0057736)"
5684247714,5684247716,0,1335894078,residential,Đường Giải Phóng,False,True,36.53549936130669,2,,,,,,,"LINESTRING (105.8410141 21.005828, 105.8410382 21.0061558)"
5684247715,5718888806,0,593642478,residential,Đường Giải Phóng,False,False,9.855276806509229,,,,,,,,"LINESTRING (105.8410428 21.0063309, 105.8411375 21.0063246)"
