id,lat,lng,street_count
574,21.0105923,105.8272216,1
575,21.0096771,105.8266614,3
576,21.0092539,105.8263679,2
577,21.0094606,105.8259013,3
578,21.009912,105.8261278,3
579,21.0093927,105.8272751,3
580,21.0086508,105.8269134,1
581,21.0096128,105.8273767,3
582,21.0105233,105.8273871,1
583,21.0103857,105.8276719,3
584,21.0100779,105.8276827,2
585,21.0089868,105.8346042,3
586,21.0099026,105.8308864,1
587,21.0100044,105.8311532,3
588,21.0105137,105.8281124,2
589,21.0086119,105.8317529,3
590,21.0087175,105.8310973,1
591,21.0086123,105.8312509,2
592,21.0087169,105.8314868,2
593,21.0088461,105.8314377,2
594,21.008917,105.8316035,3
595,21.0094222,105.8286471,5
596,21.0103706,105.8352965,3
597,21.0105558,105.8355368,3
598,21.0109745,105.8360463,2
599,21.0108292,105.8357942,2
600,21.0105973,105.8354994,2
601,21.0079399,105.833274,3
602,21.0089481,105.8326908,3
603,21.0083554,105.8319822,3
604,21.0091446,105.8336436,4
605,21.0096992,105.8342967,3
606,21.0098806,105.8351758,3
607,21.009405,105.8345738,3
608,21.0091608,105.8348066,3
609,21.0099454,105.834032,2
